rank,owner,repo,stars,score,language,ownerType,whyMatched,pushedAt,url
1,ComposioHQ,composio,27355,85,TypeScript,organization,topic:developer-tools,2026-03-13,https://github.com/ComposioHQ/composio
2,yamadashy,repomix,22406,85,TypeScript,user,topic:developer-tools; comparable:tree / find + jq pipelines,2026-03-12,https://github.com/yamadashy/repomix
3,vitali87,code-graph-rag,2089,80,Python,user,topic:code-analysis,2026-03-12,https://github.com/vitali87/code-graph-rag
4,abinthomasonline,repo2txt,1762,79,TypeScript,user,topic:devtools,2026-02-17,https://github.com/abinthomasonline/repo2txt
5,jmuncor,tokentap,761,76,Python,user,seed:paul-gauthier/aider,2026-02-02,https://github.com/jmuncor/tokentap
6,DeusData,codebase-memory-mcp,635,73,C,user,topic:code-analysis,2026-03-12,https://github.com/DeusData/codebase-memory-mcp
7,braedonsaunders,codeflow,566,72,HTML,user,topic:code-analysis,2026-03-03,https://github.com/braedonsaunders/codeflow
8,rhysd,actionlint,3681,70,Go,user,topic:ci; topic:github-actions,2026-03-12,https://github.com/rhysd/actionlint
9,tj-actions,changed-files,2668,70,TypeScript,organization,topic:ci; topic:github-actions,2026-03-13,https://github.com/tj-actions/changed-files
10,tach-org,tach,2663,70,Rust,organization,topic:ci,2026-03-07,https://github.com/tach-org/tach
11,pypa,cibuildwheel,2199,70,Python,organization,topic:ci; topic:github-actions,2026-03-12,https://github.com/pypa/cibuildwheel
12,triggerdotdev,jsonhero-web,10632,69,TypeScript,organization,topic:devtools; topic:developer-tools,2025-11-28,https://github.com/triggerdotdev/jsonhero-web
13,filipdutescu,modern-cpp-template,1892,66,CMake,user,topic:ci; topic:github-actions,2025-12-26,https://github.com/filipdutescu/modern-cpp-template
14,microsoft,multilspy,548,66,Python,organization,topic:code-analysis,2026-02-05,https://github.com/microsoft/multilspy
15,infiniflow,ragflow,74912,65,Python,organization,topic:llm; keyword:LLM context; keyword:code map,2026-03-13,https://github.com/infiniflow/ragflow
16,affaan-m,everything-claude-code,74038,65,JavaScript,user,topic:llm; topic:developer-tools; keyword:repo metadata; keyword:LLM context; keyword:CI gating,2026-03-13,https://github.com/affaan-m/everything-claude-code
17,nektos,act,69300,65,Go,organization,topic:ci; topic:github-actions,2026-03-05,https://github.com/nektos/act
18,OpenHands,OpenHands,69026,65,Python,organization,topic:llm; topic:developer-tools,2026-03-13,https://github.com/OpenHands/OpenHands
19,continuedev,continue,31817,65,TypeScript,organization,topic:llm; topic:developer-tools,2026-03-13,https://github.com/continuedev/continue
20,surrealdb,surrealdb,31526,65,Rust,organization,topic:devtools; topic:developer-tools,2026-03-13,https://github.com/surrealdb/surrealdb
21,SWE-agent,SWE-agent,18730,65,Python,organization,topic:developer-tools,2026-03-09,https://github.com/SWE-agent/SWE-agent
22,promptfoo,promptfoo,14268,65,TypeScript,organization,topic:ci,2026-03-13,https://github.com/promptfoo/promptfoo
23,e2b-dev,E2B,11263,65,MDX,organization,topic:devtools,2026-03-12,https://github.com/e2b-dev/E2B
24,iib0011,omni-tools,8858,65,TypeScript,user,topic:devtools,2026-03-10,https://github.com/iib0011/omni-tools
25,universal-ctags,ctags,7110,65,C,organization,topic:code-analysis,2026-03-13,https://github.com/universal-ctags/ctags
26,danger,danger-js,5456,65,TypeScript,organization,topic:ci; topic:github-actions,2026-03-12,https://github.com/danger/danger-js
27,potpie-ai,potpie,5280,65,Python,organization,topic:devtools,2026-03-13,https://github.com/potpie-ai/potpie
28,alirezarezvani,claude-skills,4730,65,Python,user,topic:devtools; keyword:CI gating,2026-03-13,https://github.com/alirezarezvani/claude-skills
29,nikolaydubina,go-recipes,4475,65,Go,user,comparable:tree / find + jq pipelines,2026-03-09,https://github.com/nikolaydubina/go-recipes
30,github,gh-aw,4074,65,Go,organization,topic:ci; topic:github-actions,2026-03-13,https://github.com/github/gh-aw
31,txn2,kubefwd,4066,65,Go,organization,topic:devtools,2026-03-12,https://github.com/txn2/kubefwd
32,FalkorDB,FalkorDB,3708,65,C,organization,topic:devtools,2026-03-13,https://github.com/FalkorDB/FalkorDB
33,eli64s,readme-ai,2877,65,Python,user,topic:devtools; seed:paul-gauthier/aider,2026-03-06,https://github.com/eli64s/readme-ai
34,frain-dev,convoy,2771,65,Go,organization,topic:devtools,2026-03-12,https://github.com/frain-dev/convoy
35,microsoft,rnx-kit,1706,65,TypeScript,organization,topic:devtools,2026-03-12,https://github.com/microsoft/rnx-kit
36,jeremylongshore,claude-code-plugins-plus-skills,1602,65,Python,user,seed:paul-gauthier/aider,2026-03-13,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
37,iterative,cml,4169,64,JavaScript,organization,topic:ci; topic:github-actions,2025-06-02,https://github.com/iterative/cml
38,ligurio,awesome-ci,4050,64,,user,topic:ci; keyword:CI gating,2026-03-01,https://github.com/ligurio/awesome-ci
39,YuzeHao2023,Awesome-MCP-Servers,1029,64,,user,comparable:Sourcegraph / code search,2026-03-03,https://github.com/YuzeHao2023/Awesome-MCP-Servers
